0.000000,0.000000,0.000000
10.000000,5.000000,20.000000
20.000000,30.000000,30.000000
1.000000,0.500000,2.000000
11.000000,7.500000,21.000000
18.010000,27.000000,27.010000
2.000000,1.000000,4.000000
12.000000,10.000000,22.000000
16.020000,24.000000,24.040001
3.000000,1.500000,6.000000
13.000000,12.500000,23.000000
14.030000,21.000000,21.090000
4.000000,2.000000,8.000000
14.000000,15.000000,24.000000
12.040000,18.000000,18.160000
5.000000,2.500000,10.000000
15.000000,17.500000,25.000000
10.050000,15.000000,15.250000
6.000000,3.000000,12.000000
16.000000,20.000000,26.000000
8.059999,12.000000,12.359999
7.000000,3.500000,14.000001
17.000000,22.500002,27.000000
6.070000,8.999998,9.490000
8.000001,4.000000,16.000002
18.000000,25.000002,28.000000
4.079999,5.999998,6.639997
9.000001,4.500000,18.000002
19.000000,27.500002,29.000000
2.089998,2.999996,3.809998
